abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless,total_stats,offense_defense_ratio,predicted_legendary
"Shed Skin, Overcoat",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,29,3840,70,224,120,Bagworm Pokémon,45,1000000,0.2,40,Minomucchiミノムッチ,Burmy,50,412,29,45,36,Bug,None,3.4,4,FALSE,FALSE,224,0.6444444444444445,1.4371477318954659e-6
"Anticipation, Overcoat",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,69,3840,70,424,45,Bagworm Pokémon,95,1000000,0.5,60,Minomadam (kusaki No Mino)ミノマダム,Wormadam,0,413,69,95,36,Bug,Grass,6.5,4,FALSE,FALSE,424,0.7263157894736842,0.0012526831937647767
"Swarm, Tinted Lens",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,94,3840,70,424,45,Moth Pokémon,50,1000000,0.9,70,Gamaleガーメイル,Mothim,100,414,94,50,66,Bug,Flying,23.3,4,FALSE,FALSE,424,1.88,0.0012526831937647767
"Honey Gather, Hustle",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,30,3840,70,244,120,Tiny Bee Pokémon,42,1059860,0.3,30,Mitsuhoneyミツハニー,Combee,88.1,415,30,42,70,Bug,Flying,5.5,4,FALSE,FALSE,244,0.7142857142857143,2.8287148357364365e-6
"Pressure, Unnerve",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,80,3840,70,474,45,Beehive Pokémon,102,1059860,1.2,70,Beequenビークイン,Vespiquen,0,416,80,102,40,Bug,Flying,38.5,4,FALSE,FALSE,474,0.7843137254901961,0.00677104800173429
"Run Away, Pickup, Volt Absorb",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,2560,100,405,200,EleSquirrel Pokémon,70,1000000,0.4,60,Pachirisuパチリス,Pachirisu,50,417,45,90,95,Electric,None,3.9,4,FALSE,FALSE,405,0.6428571428571429,0.003051951493837379
"Swift Swim, Water Veil",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,330,190,Sea Weasel Pokémon,35,1000000,0.7,55,Buoyselブイゼル,Buizel,50,418,60,30,85,Water,None,29.5,4,FALSE,FALSE,330,1.8571428571428572,4.2903556243164965e-5
"Swift Swim, Water Veil",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,495,75,Sea Weasel Pokémon,55,1000000,1.1,85,Floazelフローゼル,Floatzel,50,419,85,50,115,Water,None,33.5,4,FALSE,FALSE,495,1.9090909090909092,0.011318716891314641
Chlorophyll,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,35,5120,70,275,190,Cherry Pokémon,45,1000000,0.4,45,Cherinboチェリンボ,Cherubi,50,420,62,53,35,Grass,None,3.3,4,FALSE,FALSE,275,0.7777777777777778,9.337866588434518e-6
Flower Gift,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,60,5120,70,450,75,Blossom Pokémon,70,1000000,0.5,70,Cherrimチェリム,Cherrim,50,421,87,78,85,Grass,None,9.3,4,FALSE,FALSE,450,0.8571428571428571,0.00348344835110004
"Sticky Hold, Storm Drain, Sand Force",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,325,190,Sea Slug Pokémon,48,1000000,0.3,76,Karanakushiカラナクシ,Shellos,50,422,57,62,34,Water,None,6.3,4,FALSE,FALSE,325,1,3.622213994526458e-5
"Sticky Hold, Storm Drain, Sand Force",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,83,5120,70,475,75,Sea Slug Pokémon,68,1000000,0.9,111,Tritodonトリトドン,Gastrodon,50,423,92,82,39,Water,Ground,29.9,4,FALSE,FALSE,475,1.2205882352941178,0.00578274209369508
"Technician, Pickup, Skill Link",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,100,482,45,Long Tail Pokémon,66,800000,1.2,75,Etebothエテボース,Ambipom,50,424,60,66,115,Normal,None,20.3,4,FALSE,FALSE,482,1.5151515151515151,0.002908155407600943
"Aftermath, Unburden, Flare Boost",0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1,50,7680,70,348,125,Balloon Pokémon,34,1640000,0.4,90,Fuwanteフワンテ,Drifloon,50,425,60,44,70,Ghost,Flying,1.2,4,FALSE,FALSE,348,1.4705882352941178,3.631820422262914e-5
"Aftermath, Unburden, Flare Boost",0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1,80,7680,70,498,60,Blimp Pokémon,44,1640000,1.2,150,Fuwarideフワライド,Drifblim,50,426,90,54,80,Ghost,Flying,15,4,FALSE,FALSE,498,1.8181818181818181,0.005797990064416955
"Run Away, Klutz, Limber",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,66,5120,0,350,190,Rabbit Pokémon,44,1000000,0.4,55,Mimirolミミロル,Buneary,50,427,44,56,85,Normal,None,5.5,4,FALSE,FALSE,350,1.5,3.3410637996081475e-5
"Cute Charm, Klutz, Limber",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,136,5120,140,580,60,Rabbit Pokémon,94,1000000,1.2,65,Mimilopミミロップ,Lopunny,50,428,54,96,135,Normal,None,33.3,4,FALSE,FALSE,580,1.446808510638298,0.0745215239199694
Levitate,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,495,45,Magical Pokémon,60,800000,0.9,60,Mumargiムウマージ,Mismagius,50,429,105,105,105,Ghost,None,4.4,4,FALSE,FALSE,495,1,0.005240919492598986
"Insomnia, Super Luck, Moxie",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,125,5120,35,505,30,Big Boss Pokémon,52,1059860,0.9,100,Dongkarasuドンカラス,Honchkrow,50,430,105,52,71,Dark,Flying,27.3,4,FALSE,FALSE,505,2.4038461538461537,0.024962599790418143
"Limber, Own Tempo, Keen Eye",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,310,190,Catty Pokémon,42,800000,0.5,49,Nyarmarニャルマー,Glameow,24.6,431,42,37,85,Normal,None,3.9,4,FALSE,FALSE,310,1.3095238095238095,8.624199934628905e-6
"Thick Fat, Own Tempo, Defiant",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,82,5120,70,452,75,Tiger Cat Pokémon,64,800000,1,71,Bunyattoブニャット,Purugly,24.6,432,64,59,112,Normal,None,43.8,4,FALSE,FALSE,452,1.28125,0.0010550947084809437
Levitate,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30,6400,70,285,120,Bell Pokémon,50,800000,0.2,45,Lisyanリーシャン,Chingling,50,433,65,50,45,Psychic,None,0.6,4,FALSE,FALSE,285,0.6,1.581548267599317e-4
"Stench, Aftermath, Keen Eye",1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,63,5120,70,329,225,Skunk Pokémon,47,1000000,0.4,63,Skunpuuスカンプー,Stunky,50,434,41,41,74,Poison,Dark,19.2,4,FALSE,FALSE,329,1.3404255319148937,2.563039166665073e-11
"Stench, Aftermath, Keen Eye",1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,93,5120,70,479,60,Skunk Pokémon,67,1000000,1,103,Skutankスカタンク,Skuntank,50,435,71,61,84,Poison,Dark,38,4,FALSE,FALSE,479,1.3880597014925373,4.115455703804278e-9
"Levitate, Heatproof, Heavy Metal",1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,24,5120,70,300,255,Bronze Pokémon,86,1000000,0.5,57,Dohmirrorドーミラー,Bronzor,NA,436,24,86,23,Steel,Psychic,60.5,4,FALSE,TRUE,300,0.27906976744186046,5.90350213433363e-5
"Levitate, Heatproof, Heavy Metal",1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,89,5120,70,500,90,Bronze Bell Pokémon,116,1000000,1.3,67,Dohtakunドータクン,Bronzong,NA,437,79,116,33,Steel,Psychic,187,4,FALSE,TRUE,500,0.7672413793103449,0.04900036354822252
"Sturdy, Rock Head, Rattled",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,80,5120,70,290,255,Bonsai Pokémon,95,1000000,0.5,50,Usohachiウソハチ,Bonsly,50,438,10,45,10,Rock,None,15,4,FALSE,FALSE,290,0.8421052631578947,1.7712931625619774e-5
"Soundproof, Filter, Technician",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,25,6400,70,310,145,Mime Pokémon,45,1000000,0.6,20,Maneneマネネ,Mime Jr.,50,439,70,90,60,Psychic,Fairy,13,4,FALSE,FALSE,310,0.5555555555555556,3.686391558636188e-4
"Natural Cure, Serene Grace, Friend Guard",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,220,130,Playhouse Pokémon,5,800000,0.6,100,Pinpukuピンプク,Happiny,0,440,15,65,30,Normal,None,24.4,4,FALSE,FALSE,220,1,4.095668231401074e-7
"Keen Eye, Tangled Feet, Big Pecks",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,65,5120,35,411,30,Music Note Pokémon,45,1059860,0.5,76,Perapペラップ,Chatot,50,441,92,42,91,Normal,Flying,1.9,4,FALSE,FALSE,411,1.4444444444444444,2.634840488990817e-4
"Pressure, Infiltrator",1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,92,7680,70,485,100,Forbidden Pokémon,108,1000000,1,50,Mikarugeミカルゲ,Spiritomb,50,442,92,108,35,Ghost,Dark,108,4,FALSE,FALSE,485,0.8518518518518519,0.0037412570009882906
"Sand Veil, Rough Skin",1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,70,10240,70,300,45,Land Shark Pokémon,45,1250000,0.7,58,Fukamaruフカマル,Gible,50,443,40,45,42,Dragon,Ground,20.5,4,FALSE,FALSE,300,1.5555555555555556,4.659382119890491e-6
"Sand Veil, Rough Skin",1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,90,10240,70,410,45,Cave Pokémon,65,1250000,1.4,68,Gabiteガバイト,Gabite,50,444,50,55,82,Dragon,Ground,56,4,FALSE,FALSE,410,1.3846153846153846,1.9307785466388588e-4
"Sand Veil, Rough Skin",1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,170,10240,70,700,45,Mach Pokémon,115,1250000,1.9,108,Gaburiasガブリアス,Garchomp,50,445,120,95,92,Dragon,Ground,95,4,FALSE,FALSE,700,1.4782608695652173,0.7801681204977549
"Pickup, Thick Fat, Gluttony",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,85,10240,70,390,50,Big Eater Pokémon,40,1250000,0.6,135,Gonbeゴンベ,Munchlax,88.1,446,40,85,5,Normal,None,105,4,FALSE,FALSE,390,2.125,1.2942547995988563e-4
"Steadfast, Inner Focus, Prankster",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,6400,70,285,75,Emanation Pokémon,40,1059860,0.7,40,Rioluリオル,Riolu,88.1,447,35,40,60,Fighting,None,20.2,4,FALSE,FALSE,285,1.75,1.2085348273570718e-12
"Steadfast, Inner Focus, Justified",0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1,145,6400,70,625,45,Aura Pokémon,88,1059860,1.2,70,Lucarioルカリオ,Lucario,88.1,448,140,70,112,Fighting,Steel,54,4,FALSE,FALSE,625,1.6477272727272727,1.2071499380447251e-7
"Sand Stream, Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,72,7680,70,330,140,Hippo Pokémon,78,1250000,0.8,68,Hippopotasヒポポタス,Hippopotas,50,449,38,42,32,Ground,None,49.5,4,FALSE,FALSE,330,0.9230769230769231,6.315733769225474e-5
"Sand Stream, Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,112,7680,70,525,60,Heavyweight Pokémon,118,1250000,2,108,Kabaldonカバルドン,Hippowdon,50,450,68,72,47,Ground,None,300,4,FALSE,FALSE,525,0.9491525423728814,0.04446901565934075
"Battle Armor, Sniper, Keen Eye",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,5120,70,330,120,Scorpion Pokémon,90,1250000,0.8,40,Scorupiスコルピ,Skorupi,50,451,30,55,65,Poison,Bug,12,4,FALSE,FALSE,330,0.5555555555555556,2.651304816433957e-11
"Battle Armor, Sniper, Keen Eye",1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1,90,5120,70,500,45,Ogre Scorp Pokémon,110,1250000,1.3,70,Dorapionドラピオン,Drapion,50,452,60,75,95,Poison,Dark,61.5,4,FALSE,FALSE,500,0.8181818181818182,8.379357242991645e-9
"Anticipation, Dry Skin, Poison Touch",0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1,61,2560,100,300,140,Toxic Mouth Pokémon,40,1000000,0.7,48,Gureggruグレッグル,Croagunk,50,453,61,40,50,Poison,Fighting,23,4,FALSE,FALSE,300,1.525,9.601235509672753e-12
"Anticipation, Dry Skin, Poison Touch",0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1,106,5120,70,490,75,Toxic Mouth Pokémon,65,1000000,1.3,83,Dokurogドクロッグ,Toxicroak,50,454,86,65,85,Poison,Fighting,44.4,4,FALSE,FALSE,490,1.6307692307692307,5.972642607108079e-9
Levitate,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,100,6400,70,454,200,Bug Catcher Pokémon,72,1250000,1.4,74,Muskippaマスキッパ,Carnivine,50,455,90,72,46,Grass,None,27,4,FALSE,FALSE,454,1.3888888888888888,0.003986646169766935
"Swift Swim, Storm Drain, Water Veil",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,49,5120,70,330,190,Wing Fish Pokémon,56,600000,0.4,49,Keikouoケイコウオ,Finneon,50,456,49,61,66,Water,None,7,4,FALSE,FALSE,330,0.875,4.2903556243164965e-5
"Swift Swim, Storm Drain, Water Veil",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,69,5120,70,460,75,Neon Pokémon,76,600000,1.2,69,Neolantネオラント,Lumineon,50,457,69,86,91,Water,None,24,4,FALSE,FALSE,460,0.9078947368421053,0.00348793848283679
"Swift Swim, Water Absorb, Water Veil",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,20,6400,70,345,25,Kite Pokémon,50,1250000,1,45,Tamantaタマンタ,Mantyke,50,458,60,120,50,Water,Flying,65,4,FALSE,FALSE,345,0.4,7.129305594660225e-5
"Snow Warning, Soundproof",2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5,62,5120,70,334,120,Frosted Tree Pokémon,50,1250000,1,60,Yukikaburiユキカブリ,Snover,50,459,62,60,40,Grass,Ice,50.5,4,FALSE,FALSE,334,1.24,6.883074728291634e-5
"Snow Warning, Soundproof",2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5,132,5120,70,594,60,Frosted Tree Pokémon,105,1250000,2.2,90,Yukinoohユキノオー,Abomasnow,50,460,132,105,30,Grass,Ice,135.5,4,FALSE,FALSE,594,1.2571428571428571,0.3141763546760501
"Pressure, Pickpocket",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,120,5120,35,510,45,Sharp Claw Pokémon,65,1059860,1.1,70,Manyulaマニューラ,Weavile,50,461,45,85,125,Dark,Ice,34,4,FALSE,FALSE,510,1.8461538461538463,0.029431791011789273
"Magnet Pull, Sturdy, Analytic",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,70,5120,70,535,30,Magnet Area Pokémon,115,1000000,1.2,70,Jibacoilジバコイル,Magnezone,NA,462,130,90,60,Electric,Steel,180,4,FALSE,TRUE,535,0.6086956521739131,0.19983037092813719
"Own Tempo, Oblivious, Cloud Nine",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,85,5120,70,515,30,Licking Pokémon,95,1000000,1.7,110,Berobeltベロベルト,Lickilicky,50,463,80,95,50,Normal,None,140,4,FALSE,FALSE,515,0.8947368421052632,0.008836364024943772
"Lightningrod, Solid Rock, Reckless",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,140,5120,70,535,30,Drill Pokémon,130,1250000,2.4,115,Dosidonドサイドン,Rhyperior,50,464,55,55,40,Ground,Rock,282.8,4,FALSE,FALSE,535,1.0769230769230769,0.06128983367482855
"Chlorophyll, Leaf Guard, Regenerator",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,100,5120,70,535,30,Vine Pokémon,125,1000000,2,100,Mojumboモジャンボ,Tangrowth,50,465,110,50,50,Grass,None,128.6,4,FALSE,FALSE,535,0.8,0.058508223887806014
"Motor Drive, Vital Spirit",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,123,6400,70,540,30,Thunderbolt Pokémon,67,1000000,1.8,75,Elekibleエレキブル,Electivire,75.4,466,95,85,95,Electric,None,138.6,4,FALSE,FALSE,540,1.835820895522388,0.22827732784828417
"Flame Body, Vital Spirit",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,540,30,Blast Pokémon,67,1000000,1.6,75,Booburnブーバーン,Magmortar,75.4,467,125,95,83,Fire,None,68,4,FALSE,FALSE,540,1.4179104477611941,0.13056981150948233
"Hustle, Serene Grace, Super Luck",0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,50,2560,70,545,30,Jubilee Pokémon,95,800000,1.5,85,Togekissトゲキッス,Togekiss,88.1,468,120,115,80,Fairy,Flying,38,4,FALSE,FALSE,545,0.5263157894736842,0.05556139758180697
"Speed Boost, Tinted Lens, Frisk",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,76,5120,70,515,30,Ogre Darner Pokémon,86,1000000,1.9,86,Megayanmaメガヤンマ,Yanmega,50,469,116,56,95,Bug,Flying,51.5,4,FALSE,FALSE,515,0.8837209302325582,0.02659388150377603
"Leaf Guard, Chlorophyll",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,110,8960,35,525,45,Verdant Pokémon,130,1000000,1,65,Leafiaリーフィア,Leafeon,88.1,470,60,65,95,Grass,None,25.5,4,FALSE,FALSE,525,0.8461538461538461,0.04241631564106895
"Snow Cloak, Ice Body",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,60,8960,35,525,45,Fresh Snow Pokémon,110,1000000,0.8,65,Glaciaグレイシア,Glaceon,88.1,471,130,95,65,Ice,None,25.9,4,FALSE,FALSE,525,0.5454545454545454,0.16223565432529555
"Hyper Cutter, Sand Veil, Poison Heal",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,95,5120,70,510,30,Fang Scorp Pokémon,125,1059860,2,75,Glionグライオン,Gliscor,50,472,45,75,95,Ground,Flying,42.5,4,FALSE,FALSE,510,0.76,0.02724275026398615
"Oblivious, Snow Cloak, Thick Fat",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,130,5120,70,530,50,Twin Tusk Pokémon,80,1250000,2.5,110,Mammooマンムー,Mamoswine,50,473,70,60,80,Ice,Ground,291,4,FALSE,FALSE,530,1.625,0.1865786995876718
"Adaptability, Download, Analytic",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,535,30,Virtual Pokémon,70,1000000,0.9,85,Porygon-zポリゴンＺ,Porygon-Z,NA,474,135,75,90,Normal,None,34,4,FALSE,TRUE,535,1.1428571428571428,0.01724494774012402
"Steadfast, Justified",1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,165,5120,35,618,45,Blade Pokémon,95,1250000,1.6,68,Erureidoエルレイド,Gallade,100,475,65,115,110,Psychic,Fighting,52,4,FALSE,FALSE,618,1.736842105263158,0.9257381369402551
"Sturdy, Magnet Pull, Sand Force",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,55,5120,70,525,60,Compass Pokémon,145,1000000,1.4,60,Dainoseダイノーズ,Probopass,50,476,75,150,40,Rock,Steel,340,4,FALSE,FALSE,525,0.3793103448275862,0.048129802922121045
"Pressure, Frisk",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,100,6400,35,525,45,Gripper Pokémon,135,800000,2.2,45,Yonoirヨノワール,Dusknoir,50,477,65,135,45,Ghost,None,106.6,4,FALSE,FALSE,525,0.7407407407407407,0.014340003103595183
"Snow Cloak, Cursed Body",0.5,2,1,1,1,0,2,1,2,1,1,0.5,0,0.5,1,2,2,1,80,5120,70,480,75,Snow Land Pokémon,70,1000000,1.3,70,Yukimenokoユキメノコ,Froslass,0,478,80,70,110,Ice,Ghost,26.6,4,FALSE,FALSE,480,1.1428571428571428,0.04049244696021706
Levitate,0.5,2,1,0.5,1,0,1,0.5,2,1,2,1,0,0.5,1,1,0.5,1,65,5120,70,520,45,Plasma Pokémon,107,1000000,0.3,50,Rotomロトム,Rotom,NA,479,105,107,86,Electric,Ghost,0.3,4,FALSE,TRUE,520,0.6074766355140186,0.13064958323371614
Levitate,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75,20480,140,580,3,Knowledge Pokémon,130,1250000,0.3,75,Yuxieユクシー,Uxie,NA,480,75,130,95,Psychic,None,0.3,4,TRUE,TRUE,580,0.5769230769230769,0.7749338433578014
Levitate,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,105,20480,140,580,3,Emotion Pokémon,105,1250000,0.3,80,Emritエムリット,Mesprit,NA,481,105,105,80,Psychic,None,0.3,4,TRUE,TRUE,580,1,0.7749338433578014
Levitate,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,125,20480,140,580,3,Willpower Pokémon,70,1250000,0.3,75,Agnomeアグノム,Azelf,NA,482,125,70,115,Psychic,None,0.3,4,TRUE,TRUE,580,1.7857142857142858,0.7749338433578014
"Pressure, Telepathy",0.5,1,1,0.5,1,2,1,0.5,1,0.25,2,1,0.5,0,0.5,0.5,0.5,0.5,120,30720,0,680,3,Temporal Pokémon,120,1250000,5.4,100,Dialgaディアルガ,Dialga,NA,483,150,100,90,Steel,Dragon,683,4,TRUE,TRUE,680,1,0.9580646163081753
"Pressure, Telepathy",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,120,30720,0,680,3,Spatial Pokémon,100,1250000,4.2,90,Palkiaパルキア,Palkia,NA,484,150,120,100,Water,Dragon,336,4,TRUE,TRUE,680,1.2,0.8573983810497651
"Flash Fire, Flame Body",0.25,1,0.5,1,0.25,2,1,0.5,1,0.25,4,0.25,0.5,0,0.5,1,0.25,2,90,2560,100,600,3,Lava Dome Pokémon,106,1250000,1.7,91,Heatranヒードラン,Heatran,50,485,130,106,77,Fire,Steel,430,4,TRUE,FALSE,600,0.8490566037735849,0.5338382986510346
Slow Start,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,160,30720,0,670,3,Colossal Pokémon,110,1250000,3.7,110,Regigigasレジギガス,Regigigas,NA,486,80,110,100,Normal,None,420,4,TRUE,TRUE,670,1.4545454545454546,0.6290194957312547
"Pressure, Telepathy, Levitate",0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5,120,30720,0,680,3,Renegade Pokémon,100,1250000,4.5,150,Giratina (another Forme)ギラティナ,Giratina,NA,487,120,100,90,Ghost,Dragon,750,4,TRUE,TRUE,680,1.2,0.7345357498607237
Levitate,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,30720,100,600,3,Lunar Pokémon,120,1250000,1.5,120,Cresseliaクレセリア,Cresselia,0,488,75,130,85,Psychic,None,85.6,4,TRUE,FALSE,600,0.5833333333333334,0.8714170820795879
Hydration,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,10240,70,480,30,Sea Drifter Pokémon,80,1250000,0.4,80,Phioneフィオネ,Phione,NA,489,80,80,80,Water,None,3.1,4,FALSE,TRUE,480,1,0.006842154762842651
Hydration,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,100,2560,70,600,3,Seafaring Pokémon,100,1250000,0.3,100,Manaphyマナフィ,Manaphy,NA,490,100,100,100,Water,None,1.4,4,TRUE,TRUE,600,1,0.2860173725796317
Bad Dreams,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,30720,0,600,3,Pitch-Black Pokémon,90,1250000,1.5,70,Darkraiダークライ,Darkrai,NA,491,135,90,125,Dark,None,50.5,4,TRUE,TRUE,600,1,0.38970066132743275
"Natural Cure, Serene Grace",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,103,30720,100,600,45,Gratitude Pokémon,75,1059860,0.2,100,Shaymin (sky Forme)シェイミ,Shaymin,NA,492,120,75,127,Grass,Grass,2.1,4,TRUE,TRUE,600,1.3733333333333333,0.3595041296925194
Multitype,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,120,30720,0,720,3,Alpha Pokémon,120,1250000,3.2,120,Arceusアルセウス,Arceus,NA,493,120,120,120,Normal,None,320,4,TRUE,TRUE,720,1,0.9021125919268614
Victory Star,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,100,30720,100,600,3,Victory Pokémon,100,1250000,0.4,100,Victiniビクティニ,Victini,NA,494,100,100,100,Psychic,Fire,4,5,TRUE,TRUE,600,1,0.9317494443310508
"Overgrow, Contrary",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,308,45,Grass Snake Pokémon,55,1059860,0.6,45,Tsutarjaツタージャ,Snivy,88.1,495,45,55,63,Grass,None,8.1,5,FALSE,FALSE,308,0.8181818181818182,5.749402332757082e-5
"Overgrow, Contrary",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,60,5120,70,413,45,Grass Snake Pokémon,75,1059860,0.8,60,Janovyジャノビー,Servine,88.1,496,60,75,83,Grass,None,16,5,FALSE,FALSE,413,0.8,0.0020078842107579967
